formula,pattern,template_formula,template_file,roles,chalcogen,halide,charge_check
CsGa2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Ga,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsGa2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Ga,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsGa2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Ga,Se,I,sum(role_charge*stoich)=2*Ch+X
CsGa2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ga,Te,F,sum(role_charge*stoich)=2*Ch+X
CsGa2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ga,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsGa2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Ga,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsGa2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Ga,Te,I,sum(role_charge*stoich)=2*Ch+X
CsIn2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:In,S,F,sum(role_charge*stoich)=2*Ch+X
CsIn2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:In,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsIn2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:In,S,Br,sum(role_charge*stoich)=2*Ch+X
CsIn2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:In,S,I,sum(role_charge*stoich)=2*Ch+X
CsIn2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:In,Se,F,sum(role_charge*stoich)=2*Ch+X
CsIn2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:In,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsIn2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:In,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsIn2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:In,Se,I,sum(role_charge*stoich)=2*Ch+X
CsIn2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:In,Te,F,sum(role_charge*stoich)=2*Ch+X
CsIn2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:In,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsIn2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:In,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsIn2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:In,Te,I,sum(role_charge*stoich)=2*Ch+X
CsSc2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Sc,S,F,sum(role_charge*stoich)=2*Ch+X
CsSc2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Sc,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsSc2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Sc,S,Br,sum(role_charge*stoich)=2*Ch+X
CsSc2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Sc,S,I,sum(role_charge*stoich)=2*Ch+X
CsSc2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Sc,Se,F,sum(role_charge*stoich)=2*Ch+X
CsSc2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Sc,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsSc2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Sc,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsSc2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Sc,Se,I,sum(role_charge*stoich)=2*Ch+X
CsSc2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Sc,Te,F,sum(role_charge*stoich)=2*Ch+X
CsSc2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Sc,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsSc2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Sc,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsSc2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Sc,Te,I,sum(role_charge*stoich)=2*Ch+X
CsY2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Y,S,F,sum(role_charge*stoich)=2*Ch+X
CsY2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Y,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsY2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Y,S,Br,sum(role_charge*stoich)=2*Ch+X
CsY2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Y,S,I,sum(role_charge*stoich)=2*Ch+X
CsY2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Y,Se,F,sum(role_charge*stoich)=2*Ch+X
CsY2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Y,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsY2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Y,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsY2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Y,Se,I,sum(role_charge*stoich)=2*Ch+X
CsY2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Y,Te,F,sum(role_charge*stoich)=2*Ch+X
CsY2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Y,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsY2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Y,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsY2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Y,Te,I,sum(role_charge*stoich)=2*Ch+X
CsLa2S3F,A1C2_Ch3_X1,AgBi2S3Cl,mp-558368.cif,A1:Cs;C2:La,S,F,sum(role_charge*stoich)=2*Ch+X
CsLa2S3Cl,A1C2_Ch3_X1,AgBi2S3Cl,mp-558368.cif,A1:Cs;C2:La,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsLa2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:La,S,Br,sum(role_charge*stoich)=2*Ch+X
CsLa2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:La,S,I,sum(role_charge*stoich)=2*Ch+X
CsLa2Se3F,A1C2_Ch3_X1,AgBi2Se3Cl,mp-569939.cif,A1:Cs;C2:La,Se,F,sum(role_charge*stoich)=2*Ch+X
CsLa2Se3Cl,A1C2_Ch3_X1,AgBi2Se3Cl,mp-569939.cif,A1:Cs;C2:La,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsLa2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:La,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsLa2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:La,Se,I,sum(role_charge*stoich)=2*Ch+X
CsLa2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:La,Te,F,sum(role_charge*stoich)=2*Ch+X
CsLa2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:La,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsLa2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:La,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsLa2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:La,Te,I,sum(role_charge*stoich)=2*Ch+X
CsLu2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Lu,S,F,sum(role_charge*stoich)=2*Ch+X
CsLu2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Lu,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsLu2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Lu,S,Br,sum(role_charge*stoich)=2*Ch+X
CsLu2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Lu,S,I,sum(role_charge*stoich)=2*Ch+X
CsLu2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Lu,Se,F,sum(role_charge*stoich)=2*Ch+X
CsLu2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Lu,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsLu2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Lu,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsLu2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Lu,Se,I,sum(role_charge*stoich)=2*Ch+X
CsLu2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Lu,Te,F,sum(role_charge*stoich)=2*Ch+X
CsLu2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Lu,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsLu2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Lu,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsLu2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Lu,Te,I,sum(role_charge*stoich)=2*Ch+X
CsTi2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Ti,S,F,sum(role_charge*stoich)=2*Ch+X
CsTi2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Ti,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsTi2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Ti,S,Br,sum(role_charge*stoich)=2*Ch+X
CsTi2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Ti,S,I,sum(role_charge*stoich)=2*Ch+X
CsTi2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Ti,Se,F,sum(role_charge*stoich)=2*Ch+X
CsTi2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Ti,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsTi2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Ti,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsTi2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Ti,Se,I,sum(role_charge*stoich)=2*Ch+X
CsTi2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ti,Te,F,sum(role_charge*stoich)=2*Ch+X
CsTi2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ti,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsTi2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Ti,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsTi2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Ti,Te,I,sum(role_charge*stoich)=2*Ch+X
CsV2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:V,S,F,sum(role_charge*stoich)=2*Ch+X
CsV2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:V,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsV2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:V,S,Br,sum(role_charge*stoich)=2*Ch+X
CsV2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:V,S,I,sum(role_charge*stoich)=2*Ch+X
CsV2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:V,Se,F,sum(role_charge*stoich)=2*Ch+X
CsV2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:V,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsV2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:V,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsV2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:V,Se,I,sum(role_charge*stoich)=2*Ch+X
CsV2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:V,Te,F,sum(role_charge*stoich)=2*Ch+X
CsV2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:V,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsV2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:V,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsV2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:V,Te,I,sum(role_charge*stoich)=2*Ch+X
CsNb2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Nb,S,F,sum(role_charge*stoich)=2*Ch+X
CsNb2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Nb,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsNb2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Nb,S,Br,sum(role_charge*stoich)=2*Ch+X
CsNb2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Nb,S,I,sum(role_charge*stoich)=2*Ch+X
CsNb2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Nb,Se,F,sum(role_charge*stoich)=2*Ch+X
CsNb2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Nb,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsNb2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Nb,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsNb2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Nb,Se,I,sum(role_charge*stoich)=2*Ch+X
CsNb2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Nb,Te,F,sum(role_charge*stoich)=2*Ch+X
CsNb2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Nb,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsNb2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Nb,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsNb2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Nb,Te,I,sum(role_charge*stoich)=2*Ch+X
CsMo2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Mo,S,F,sum(role_charge*stoich)=2*Ch+X
CsMo2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Mo,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsMo2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Mo,S,Br,sum(role_charge*stoich)=2*Ch+X
CsMo2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Mo,S,I,sum(role_charge*stoich)=2*Ch+X
CsMo2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Mo,Se,F,sum(role_charge*stoich)=2*Ch+X
CsMo2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Mo,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsMo2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Mo,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsMo2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Mo,Se,I,sum(role_charge*stoich)=2*Ch+X
CsTe3Mo2F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Mo,Te,F,sum(role_charge*stoich)=2*Ch+X
CsTe3Mo2Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Mo,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsTe3Mo2Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Mo,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsTe3Mo2I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Mo,Te,I,sum(role_charge*stoich)=2*Ch+X
CsZr2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Zr,S,F,sum(role_charge*stoich)=2*Ch+X
CsZr2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Zr,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsZr2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Zr,S,Br,sum(role_charge*stoich)=2*Ch+X
CsZr2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Zr,S,I,sum(role_charge*stoich)=2*Ch+X
CsZr2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Zr,Se,F,sum(role_charge*stoich)=2*Ch+X
CsZr2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Zr,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsZr2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Zr,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsZr2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Zr,Se,I,sum(role_charge*stoich)=2*Ch+X
CsZr2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Zr,Te,F,sum(role_charge*stoich)=2*Ch+X
CsZr2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Zr,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsZr2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Zr,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsZr2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Zr,Te,I,sum(role_charge*stoich)=2*Ch+X
CsHf2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Hf,S,F,sum(role_charge*stoich)=2*Ch+X
CsHf2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Hf,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsHf2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Hf,S,Br,sum(role_charge*stoich)=2*Ch+X
CsHf2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Hf,S,I,sum(role_charge*stoich)=2*Ch+X
CsHf2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Hf,Se,F,sum(role_charge*stoich)=2*Ch+X
CsHf2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Hf,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsHf2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Hf,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsHf2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Hf,Se,I,sum(role_charge*stoich)=2*Ch+X
CsHf2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Hf,Te,F,sum(role_charge*stoich)=2*Ch+X
CsHf2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Hf,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsHf2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Hf,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsHf2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Hf,Te,I,sum(role_charge*stoich)=2*Ch+X
CsTa2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Ta,S,F,sum(role_charge*stoich)=2*Ch+X
CsTa2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Ta,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsTa2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Ta,S,Br,sum(role_charge*stoich)=2*Ch+X
CsTa2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Ta,S,I,sum(role_charge*stoich)=2*Ch+X
CsTa2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Ta,Se,F,sum(role_charge*stoich)=2*Ch+X
CsTa2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Ta,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsTa2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:Ta,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsTa2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Ta,Se,I,sum(role_charge*stoich)=2*Ch+X
CsTa2Te3F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ta,Te,F,sum(role_charge*stoich)=2*Ch+X
CsTa2Te3Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:Ta,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsTa2Te3Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:Ta,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsTa2Te3I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:Ta,Te,I,sum(role_charge*stoich)=2*Ch+X
CsW2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:W,S,F,sum(role_charge*stoich)=2*Ch+X
CsW2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:W,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsW2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:W,S,Br,sum(role_charge*stoich)=2*Ch+X
CsW2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:W,S,I,sum(role_charge*stoich)=2*Ch+X
CsW2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:W,Se,F,sum(role_charge*stoich)=2*Ch+X
CsW2Se3Cl,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:W,Se,Cl,sum(role_charge*stoich)=2*Ch+X
CsW2Se3Br,A1C2_Ch3_X1,In2AgSe3Br,mp-1223994.cif,A1:Cs;C2:W,Se,Br,sum(role_charge*stoich)=2*Ch+X
CsW2Se3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:W,Se,I,sum(role_charge*stoich)=2*Ch+X
CsTe3W2F,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:W,Te,F,sum(role_charge*stoich)=2*Ch+X
CsTe3W2Cl,A1C2_Ch3_X1,In2AgTe3Cl,mp-1223758.cif,A1:Cs;C2:W,Te,Cl,sum(role_charge*stoich)=2*Ch+X
CsTe3W2Br,A1C2_Ch3_X1,In2AgTe3Br,mp-1223756.cif,A1:Cs;C2:W,Te,Br,sum(role_charge*stoich)=2*Ch+X
CsTe3W2I,A1C2_Ch3_X1,In2AgTe3I,mp-1223909.cif,A1:Cs;C2:W,Te,I,sum(role_charge*stoich)=2*Ch+X
CsFe2S3F,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Fe,S,F,sum(role_charge*stoich)=2*Ch+X
CsFe2S3Cl,A1C2_Ch3_X1,In2AgS3Cl,mp-1224076.cif,A1:Cs;C2:Fe,S,Cl,sum(role_charge*stoich)=2*Ch+X
CsFe2S3Br,A1C2_Ch3_X1,In2AgS3Br,mp-1224043.cif,A1:Cs;C2:Fe,S,Br,sum(role_charge*stoich)=2*Ch+X
CsFe2S3I,A1C2_Ch3_X1,In2AgSe3I,mp-1224031.cif,A1:Cs;C2:Fe,S,I,sum(role_charge*stoich)=2*Ch+X
CsFe2Se3F,A1C2_Ch3_X1,In2AgSe3Cl,mp-1223776.cif,A1:Cs;C2:Fe,Se,F,sum(role_charge*stoich)=2*Ch+X
